Year,Ward,GeoCode,Value
2017-18,Southville,E05010914,88.88325952
2017-18,,,76.43242127
2017-18,Henbury & Brentry,E05010901,73.17282772
2017-18,Brislington West,E05010891,75.81919686
2017-18,Easton,E05010896,77.03802239
2017-18,Stoke Bishop,E05010916,91.52558658
2017-18,Brislington East,E05010890,69.58275497
2017-18,Windmill Hill,E05010918,92.15022251
2017-18,Bishopsworth,E05010889,73.85114711
2017-18,Southmead,E05010913,60.249437
2017-18,Stockwood,E05010915,66.7629466
2017-18,Ashley,E05010885,80.32564685
2017-18,Knowle,E05010906,70.15420181
2017-18,Westbury-on-Trym & Henleaze,E05010917,93.37368279
2017-18,Clifton,E05010893,88.46243303
2017-18,Central,E05010892,73.89261741
2017-18,Hartcliffe & Withywood,E05010900,50.18542475
2017-18,Hillfields,E05010903,68.63747375
2017-18,Hotwells & Harbourside,E05010905,85.28976423
2017-18,Cotham,E05010895,95.88908157
2017-18,Lockleaze,E05010908,66.38687225
2017-18,Filwood,E05010898,50.88321205
2017-18,Horfield,E05010904,82.36859271
2017-18,Bishopston & Ashley Down,E05010888,86.57408644
2017-18,Hengrove & Whitchurch Park,E05010902,75.51996063
2017-18,Clifton Down,E05010894,93.1353385
2017-18,St George West,E05010912,77.54307183
2017-18,Avonmouth & Lawrence Weston,E05010886,68.00323896
2017-18,Bedminster,E05010887,83.92885053
2017-18,St George Troopers Hill,E05010911,84.88516449
2017-18,Lawrence Hill,E05010907,65.17224168
2017-18,Eastville,E05010897,71.37160198
2017-18,St George Central,E05010910,64.30460253
2017-18,Frome Vale,E05010899,71.24469686
2017-18,Redland,E05010909,93.62576102
2018-19,Henbury & Brentry,E05010901,82.89870671
2018-19,Southmead,E05010913,73.0036347
2018-19,Frome Vale,E05010899,67.92340625
2018-19,Knowle,E05010906,84.48847517
2018-19,Lawrence Hill,E05010907,56.74766891
2018-19,Southville,E05010914,92.29672473
2018-19,St George West,E05010912,70.24598381
2018-19,Ashley,E05010885,76.5892605
2018-19,Bishopston & Ashley Down,E05010888,84.87735123
2018-19,Brislington West,E05010891,85.33225479
2018-19,Cotham,E05010895,95.06712495
2018-19,Hengrove & Whitchurch Park,E05010902,70.53421844
2018-19,Hillfields,E05010903,69.50628423
2018-19,Clifton,E05010893,94.34327464
2018-19,St George Central,E05010910,71.69857135
2018-19,Windmill Hill,E05010918,83.80176021
2018-19,Bedminster,E05010887,83.24934621
2018-19,Brislington East,E05010890,71.78479919
2018-19,Bishopsworth,E05010889,64.29548126
2018-19,Westbury-on-Trym & Henleaze,E05010917,93.30494299
2018-19,Easton,E05010896,80.12977365
2018-19,Filwood,E05010898,54.52800926
2018-19,Lockleaze,E05010908,77.00552825
2018-19,Stoke Bishop,E05010916,88.53340209
2018-19,Clifton Down,E05010894,96.23318537
2018-19,Eastville,E05010897,65.75324425
2018-19,Hartcliffe & Withywood,E05010900,43.82073228
2018-19,Horfield,E05010904,80.6717157
2018-19,Hotwells & Harbourside,E05010905,85.27600421
2018-19,Redland,E05010909,95.90875597
2018-19,Central,E05010892,74.28405662
2018-19,St George Troopers Hill,E05010911,76.14092379
2018-19,Stockwood,E05010915,58.28812115
2018-19,,,76.7314698
2018-19,Avonmouth & Lawrence Weston,E05010886,70.92966125
2019-20,Brislington East,E05010890,69.46189593
2019-20,Eastville,E05010897,73.09098748
2019-20,Hotwells & Harbourside,E05010905,96.00521389
2019-20,Redland,E05010909,97.80491222
2019-20,Southmead,E05010913,65.94866616
2019-20,Bishopsworth,E05010889,78.5011961
2019-20,Brislington West,E05010891,82.05808959
2019-20,Clifton,E05010893,93.01763581
2019-20,Cotham,E05010895,93.13388783
2019-20,Frome Vale,E05010899,73.23795334
2019-20,Hartcliffe & Withywood,E05010900,36.934122
2019-20,Hillfields,E05010903,73.84098863
2019-20,Knowle,E05010906,78.22421115
2019-20,Lockleaze,E05010908,76.06283519
2019-20,Avonmouth & Lawrence Weston,E05010886,67.65496847
2019-20,Central,E05010892,74.61582758
2019-20,Southville,E05010914,88.08911943
2019-20,Windmill Hill,E05010918,88.96334328
2019-20,,,78.81351338
2019-20,Ashley,E05010885,81.09870236
2019-20,Bedminster,E05010887,89.77446468
2019-20,Henbury & Brentry,E05010901,76.80317753
2019-20,Hengrove & Whitchurch Park,E05010902,69.97974394
2019-20,Horfield,E05010904,82.65390496
2019-20,Stoke Bishop,E05010916,96.28284485
2019-20,Westbury-on-Trym & Henleaze,E05010917,94.69063707
2019-20,Clifton Down,E05010894,96.43508519
2019-20,Filwood,E05010898,60.31422164
2019-20,Lawrence Hill,E05010907,69.99515265
2019-20,St George West,E05010912,84.19371404
2019-20,Stockwood,E05010915,67.60992487
2019-20,Easton,E05010896,80.76778644
2019-20,St George Central,E05010910,69.42703157
2019-20,St George Troopers Hill,E05010911,88.51906369
2019-20,Bishopston & Ashley Down,E05010888,92.23086777
2020-21,Westbury-on-Trym & Henleaze,E05010917,95.00058447
2020-21,Bedminster,E05010887,91.76094473
2020-21,Lockleaze,E05010908,75.54699549
2020-21,St George Troopers Hill,E05010911,88.02519985
2020-21,Clifton Down,E05010894,94.49284682
2020-21,Hartcliffe & Withywood,E05010900,50.15329829
2020-21,Hotwells & Harbourside,E05010905,92.86117147
2020-21,Knowle,E05010906,82.12973588
2020-21,Redland,E05010909,96.50687773
2020-21,Bishopston & Ashley Down,E05010888,90.926295
2020-21,Hengrove & Whitchurch Park,E05010902,76.57981659
2020-21,Ashley,E05010885,79.50247148
2020-21,Clifton,E05010893,89.70568005
2020-21,Easton,E05010896,79.67201778
2020-21,Frome Vale,E05010899,76.81046285
2020-21,Avonmouth & Lawrence Weston,E05010886,69.15129723
2020-21,St George West,E05010912,85.7047173
2020-21,Southmead,E05010913,73.94430402
2020-21,Stoke Bishop,E05010916,94.93837965
2020-21,Stockwood,E05010915,80.32088269
2020-21,Filwood,E05010898,66.72816001
2020-21,Henbury & Brentry,E05010901,80.63035478
2020-21,St George Central,E05010910,70.5892851
2020-21,,,79.79113485
2020-21,Bishopsworth,E05010889,80.1805817
2020-21,Brislington East,E05010890,76.84241645
2020-21,Central,E05010892,70.93222053
2020-21,Cotham,E05010895,91.44342542
2020-21,Eastville,E05010897,75.74389224
2020-21,Hillfields,E05010903,73.44827822
2020-21,Horfield,E05010904,79.97506331
2020-21,Lawrence Hill,E05010907,56.33520931
2020-21,Southville,E05010914,90.42775294
2020-21,Brislington West,E05010891,82.13378435
2020-21,Windmill Hill,E05010918,87.35114947
