Year,Group,Value
2010,Park and Ride Passengers,1434249.0
2011,Park and Ride Passengers,1333575.0
2012,Park and Ride Passengers,1292062.0
2013,Park and Ride Passengers,1275562.0
2014,Park and Ride Passengers,1264805.0
2015,Park and Ride Passengers,1410725.0
2016,Park and Ride Passengers,1329386.0
2017,Park and Ride Passengers,1533679.0
2018,Park and Ride Passengers,1716174.0
2010,Passenger journeys on buses originating in Bristol,28011284.0
2011,Passenger journeys on buses originating in Bristol,28475212.0
2012,Passenger journeys on buses originating in Bristol,25413186.0
2013,Passenger journeys on buses originating in Bristol,28813369.0
2014,Passenger journeys on buses originating in Bristol,33837991.0
2015,Passenger journeys on buses originating in Bristol,36779218.0
2016,Passenger journeys on buses originating in Bristol,38575102.0
2017,Passenger journeys on buses originating in Bristol,39676021.0
2018,Passenger journeys on buses originating in Bristol,42216084.0
