Year,Value,Series,GeoCode
2017,39.2,Access to mobile broadband at home,
2018,27.1,Access to mobile broadband at home,
2019,29.2,Access to mobile broadband at home,
2020,26.4,Access to mobile broadband at home,
2014,89.7,Have used the internet in the last 3 months,
2015,91.3,Have used the internet in the last 3 months,
2016,94.9,Have used the internet in the last 3 months,
2017,89.0,Have used the internet in the last 3 months,
2018,92.8,Have used the internet in the last 3 months,
2019,95.4,Have used the internet in the last 3 months,
2020,94.7,Have used the internet in the last 3 months,
